file_path,audio_group,filename,sentence_id,variant,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,f0_mean,f0_std,voiced_ratio,jitter,shimmer,hnr,zcr_mean,zcr_std,rms_mean,rms_std
data\raw\data_store\audio100\arctic_a0100(3).wav,audio100,arctic_a0100(3).wav,0100,3,-186.087097,56.851765,31.172867,46.848801,-11.635354,0.022915,-14.086443,-6.271111,-16.055784,-4.041925,-6.187642,-0.187215,-4.892797,207.905,21.071,0.7447,0.0392,0.32025,2.153,0.225347,0.240349,0.134995,0.060552
data\raw\data_store\audio100\arctic_a0100(4).wav,audio100,arctic_a0100(4).wav,0100,4,-221.436493,59.785435,8.535154,50.618694,-13.680042,-1.328001,-27.667391,-11.676729,-7.749975,-5.799859,-5.650447,-0.393699,0.96642,227.152,30.227,0.8333,0.03146,0.41186,-0.06,0.204359,0.194129,0.095966,0.049304
data\raw\data_store\audio100\arctic_a0100(5).wav,audio100,arctic_a0100(5).wav,0100,5,-243.67244,31.209898,4.582155,47.38789,-1.886824,-0.784254,-1.638401,-20.396524,-8.039435,-12.554741,-9.906371,2.8536,-9.390761,195.43,33.78,0.78,0.05614,0.40518,-2.087,0.285369,0.281775,0.090284,0.066417
data\raw\data_store\audio100\arctic_a0100(6).wav,audio100,arctic_a0100(6).wav,0100,6,-261.671295,52.017475,11.297941,29.576836,-18.428122,3.857023,-11.972503,-15.439137,-16.503752,-8.059579,-11.590195,-5.287474,-7.888655,226.865,44.0,0.7966,0.05011,0.35465,0.853,0.197186,0.203979,0.133315,0.109933
data\raw\data_store\audio100\arctic_a0100(7).wav,audio100,arctic_a0100(7).wav,0100,7,-254.976944,44.350491,16.994402,34.614204,-16.591383,6.81278,-17.959103,-4.772135,-2.561081,-0.958815,-11.766152,9.477246,-8.773994,186.861,23.786,0.6786,0.05079,0.35414,0.454,0.275165,0.254093,0.107393,0.062317
data\raw\data_store\audio100\arctic_a0100.wav,audio100,arctic_a0100.wav,0100,0,-267.759399,58.717739,18.904709,44.486195,-4.050973,-1.620999,-4.903113,-7.725263,-6.163222,-10.971212,-10.203295,1.331577,-8.776696,184.482,20.632,0.8571,0.02223,0.35946,4.765,0.198416,0.240404,0.13536,0.089851
data\raw\data_store\audio101\arctic_a0101(1).wav,audio101,arctic_a0101(1).wav,0101,1,-238.276428,60.572132,-12.285798,43.174,-29.399738,16.333492,-23.28824,-5.436115,-18.498562,-5.671371,-12.586196,-11.254479,0.438589,264.347,43.471,0.9481,0.05346,0.41093,0.624,0.105609,0.103429,0.110348,0.059171
data\raw\data_store\audio101\arctic_a0101(3).wav,audio101,arctic_a0101(3).wav,0101,3,-293.861542,78.321083,25.95779,47.025043,-6.004131,1.046408,-10.678937,-7.37548,-15.302425,-7.433419,-7.232454,-5.11647,-3.651235,211.483,17.153,0.8052,0.02152,0.36396,2.875,0.077296,0.071572,0.062816,0.036307
data\raw\data_store\audio101\arctic_a0101(4).wav,audio101,arctic_a0101(4).wav,0101,4,-270.65448,77.836525,6.439014,61.183956,-10.955308,-9.022773,-24.109369,-15.787625,-16.031448,-13.614049,-3.8027,-15.385704,-3.486924,231.67,26.97,0.9857,0.03636,0.4156,3.557,0.12193,0.122399,0.089485,0.042255
data\raw\data_store\audio101\arctic_a0101(5).wav,audio101,arctic_a0101(5).wav,0101,5,-304.792694,64.408188,1.241985,61.63929,-4.730812,7.245887,5.346736,-18.896902,-4.667517,-14.352754,-9.150693,-2.294301,-9.489109,185.405,33.017,0.878,0.05624,0.43912,-8.669,0.103284,0.092026,0.065195,0.051668
data\raw\data_store\audio101\arctic_a0101(6).wav,audio101,arctic_a0101(6).wav,0101,6,-294.000488,79.234039,6.628346,33.043102,-10.272414,4.086772,-9.77829,-17.735912,-13.959594,-13.338962,-12.475733,-12.952165,-9.11774,240.712,36.892,0.9318,0.04853,0.41824,3.34,0.070911,0.062948,0.13039,0.087605
data\raw\data_store\audio101\arctic_a0101(7).wav,audio101,arctic_a0101(7).wav,0101,7,-236.065994,81.926064,16.49577,45.54961,-13.550671,3.11389,-15.667998,-8.38933,-19.482487,-4.731046,-19.929251,1.028681,-7.832175,192.908,17.84,0.9733,0.02516,0.37277,5.097,0.123494,0.119547,0.14418,0.059045
data\raw\data_store\audio101\arctic_a0101.wav,audio101,arctic_a0101.wav,0101,0,-268.414825,80.543068,17.757572,50.788441,-9.560756,6.229811,-2.794798,-10.885282,-11.353395,-10.654383,-11.198273,-6.430651,-7.925658,190.741,22.668,0.9518,0.03545,0.35212,5.403,0.09969,0.108826,0.146223,0.072734
data\raw\data_store\audio102\arctic_a0102(1).wav,audio102,arctic_a0102(1).wav,0102,1,-231.122253,62.963192,-2.573822,32.084034,-18.728371,8.105007,-23.45236,6.275292,-21.932966,-0.65224,-12.79219,-5.431783,1.832947,217.518,38.412,0.9302,0.02425,0.38191,-40.0,0.191556,0.222026,0.112557,0.056658
data\raw\data_store\audio102\arctic_a0102(3).wav,audio102,arctic_a0102(3).wav,0102,3,-210.654068,82.528191,24.16873,15.379737,-12.254916,6.872074,-8.446502,-7.736946,-13.263749,-5.148218,-6.242886,-4.01155,-2.485336,209.252,25.237,0.8864,0.0267,0.31373,3.572,0.180981,0.23448,0.141092,0.056809
data\raw\data_store\audio102\arctic_a0102(4).wav,audio102,arctic_a0102(4).wav,0102,4,-220.248352,81.148132,-0.250795,18.314077,-34.470726,7.725515,-20.519587,-12.358277,-14.141092,-7.998087,-11.258416,-2.544514,-2.02024,234.338,33.084,0.9737,0.02757,0.344,-0.114,0.190774,0.214143,0.142355,0.05184
data\raw\data_store\audio102\arctic_a0102(5).wav,audio102,arctic_a0102(5).wav,0102,5,-228.207977,69.984795,2.320297,25.245186,-22.118345,8.993993,3.550786,-20.613718,-7.477713,-11.339993,-15.27544,7.210322,-8.515447,200.428,33.234,0.7561,0.04421,0.39122,-9.45,0.22098,0.221665,0.100264,0.052008
data\raw\data_store\audio102\arctic_a0102(6).wav,audio102,arctic_a0102(6).wav,0102,6,-262.66098,74.761734,4.588305,18.100111,-17.564457,2.281174,-22.030828,-12.665023,-22.811359,-3.19955,-13.892761,-6.223057,-4.012417,224.538,25.372,0.8571,0.02523,0.411,2.477,0.217817,0.230954,0.132411,0.072657
data\raw\data_store\audio102\arctic_a0102(7).wav,audio102,arctic_a0102(7).wav,0102,7,-261.895416,81.486336,-5.979702,4.94116,-24.48629,13.918458,-18.969917,-9.934966,-2.502902,2.299121,-19.598593,9.511395,-9.684785,191.252,16.565,0.9111,0.01635,0.33753,-0.073,0.210032,0.235792,0.089868,0.047238
data\raw\data_store\audio102\arctic_a0102.wav,audio102,arctic_a0102.wav,0102,0,-254.823441,74.779411,13.508047,16.801956,-19.208336,14.797098,-5.540308,-4.99792,-8.393359,-6.893063,-10.822253,2.270297,-9.055848,186.138,17.811,0.9,0.02133,0.25429,4.829,0.185918,0.23891,0.149402,0.064145
data\raw\data_store\audio103\arctic_a0103(1).wav,audio103,arctic_a0103(1).wav,0103,1,-223.31311,75.911598,-8.737104,31.082314,-23.51251,9.084556,-19.158688,3.641967,-22.435575,-2.448538,-10.408908,-5.923817,-2.33193,213.843,31.831,0.9556,0.02899,0.38672,-7.913,0.122593,0.130688,0.104228,0.049337
data\raw\data_store\audio103\arctic_a0103(3).wav,audio103,arctic_a0103(3).wav,0103,3,-216.524185,98.859703,6.824688,26.723103,-8.393351,-2.21408,-7.544636,-5.802239,-13.558542,-3.266391,-4.336472,-5.570523,-3.707003,203.097,22.406,0.9759,0.03478,0.37622,1.79,0.081654,0.109324,0.104356,0.041965
data\raw\data_store\audio103\arctic_a0103(4).wav,audio103,arctic_a0103(4).wav,0103,4,-204.657928,86.905922,-20.751173,31.525019,-22.142212,0.250643,-24.473536,-13.276306,-7.892346,1.123137,-10.588258,-6.543982,-1.973994,241.561,29.585,0.9863,0.0266,0.456,-1.638,0.122176,0.101492,0.117627,0.044683
data\raw\data_store\audio103\arctic_a0103(5).wav,audio103,arctic_a0103(5).wav,0103,5,-244.405609,81.379547,-23.754999,39.517155,-16.540682,5.652936,-5.475261,-23.941309,-3.073453,-14.138536,-8.577052,-4.064513,-5.964649,182.8,31.956,0.9878,0.02706,0.37123,-12.728,0.126471,0.105084,0.072669,0.036974
data\raw\data_store\audio103\arctic_a0103(6).wav,audio103,arctic_a0103(6).wav,0103,6,-228.258102,105.816162,-4.20542,29.536264,-24.369102,-3.431468,-20.718164,-14.806953,-18.631903,-6.874648,-12.182774,-9.168683,-5.073046,228.665,24.745,0.9775,0.02833,0.36726,0.323,0.097179,0.127155,0.147568,0.064995
data\raw\data_store\audio103\arctic_a0103(7).wav,audio103,arctic_a0103(7).wav,0103,7,-210.368011,105.453934,-8.134825,18.633619,-18.388206,2.748848,-15.957588,-5.828524,-4.99223,3.804425,-16.606827,3.532525,-13.066219,183.902,20.045,0.9759,0.02405,0.36125,-0.89,0.105908,0.105819,0.127259,0.051667
data\raw\data_store\audio103\arctic_a0103.wav,audio103,arctic_a0103.wav,0103,0,-235.956375,105.717773,2.348015,25.561146,-14.4786,3.630754,-2.694497,-7.401121,-1.368366,-5.67615,-7.459291,-3.753724,-9.681691,184.299,20.703,0.9667,0.01744,0.3091,1.93,0.10016,0.124668,0.163089,0.073121
data\raw\data_store\audio104\arctic_a0104(1).wav,audio104,arctic_a0104(1).wav,0104,1,-245.676559,45.591312,13.594067,41.817814,-16.057543,2.9381,-13.269682,13.143804,-19.096245,-2.897189,-14.701769,-1.908499,-4.485919,224.401,28.92,0.8077,0.03095,0.51579,-2.464,0.188256,0.182048,0.066218,0.036265
data\raw\data_store\audio104\arctic_a0104(3).wav,audio104,arctic_a0104(3).wav,0104,3,-184.334641,58.66272,29.423603,34.459885,-7.854261,-2.920184,-14.093616,-0.434061,-15.792992,-6.261165,-7.551257,-0.599573,-3.905643,218.867,25.835,0.8571,0.03947,0.57965,0.514,0.183217,0.19356,0.111551,0.041346
data\raw\data_store\audio104\arctic_a0104(4).wav,audio104,arctic_a0104(4).wav,0104,4,-205.250183,62.63401,-5.829448,42.768234,-16.94455,-6.582697,-25.621624,-9.512743,-7.967395,-5.351582,-10.507089,-4.502287,-2.730217,236.063,34.92,0.9381,0.02703,0.48232,-0.746,0.156282,0.160609,0.104778,0.044661
data\raw\data_store\audio104\arctic_a0104(5).wav,audio104,arctic_a0104(5).wav,0104,5,-168.531998,53.04549,-8.342084,42.610947,-14.547901,2.864701,-7.969198,-17.370251,-4.998031,-13.972589,-15.674923,-0.270496,-10.324544,191.998,32.713,0.899,0.04785,0.58016,-3.275,0.198134,0.170191,0.109285,0.046737
data\raw\data_store\audio104\arctic_a0104(6).wav,audio104,arctic_a0104(6).wav,0104,6,-228.59166,60.187523,-2.997784,40.984707,-15.638049,-6.68013,-19.656645,-7.185117,-14.599768,-8.654617,-13.445109,-3.212219,-7.249314,229.818,41.132,0.9043,0.05991,0.50716,-2.226,0.173058,0.17356,0.11278,0.067459
data\raw\data_store\audio104\arctic_a0104(7).wav,audio104,arctic_a0104(7).wav,0104,7,-202.300903,61.979252,13.274891,28.287254,-16.166292,-3.98104,-20.907873,-1.636022,-8.424388,-0.122893,-20.940098,7.124714,-9.083333,194.669,23.858,0.9688,0.03496,0.41453,2.034,0.185648,0.17449,0.108468,0.041542
data\raw\data_store\audio104\arctic_a0104.wav,audio104,arctic_a0104.wav,0104,0,-216.684814,65.753578,13.226947,36.299252,-12.051555,2.422607,-6.903426,-1.682992,-4.321562,-8.481008,-11.630574,0.562933,-9.311475,185.053,20.541,0.9091,0.02431,0.4332,2.911,0.164559,0.192781,0.14309,0.069441
data\raw\data_store\audio105\arctic_a0105(1).wav,audio105,arctic_a0105(1).wav,0105,1,-232.33873,69.257423,5.153446,28.052305,-28.798689,11.094923,-20.874922,3.038785,-20.66466,-4.912877,-10.699115,-6.476851,-0.407874,239.611,55.22,0.9104,0.04475,0.32066,-5.534,0.170639,0.204634,0.110931,0.056259
data\raw\data_store\audio105\arctic_a0105(3).wav,audio105,arctic_a0105(3).wav,0105,3,-213.536179,78.350548,28.092016,16.962439,-9.862135,6.947218,-7.311463,-5.112283,-18.214226,-0.823815,-9.620078,1.189878,-6.626979,214.113,19.472,0.8033,0.01978,0.37613,1.665,0.156825,0.183057,0.109564,0.053645
data\raw\data_store\audio105\arctic_a0105(4).wav,audio105,arctic_a0105(4).wav,0105,4,-230.905197,84.390182,5.874948,18.828274,-25.575401,10.312926,-22.83864,-19.291519,-13.648607,-4.882917,-10.359378,-1.31094,-1.62587,222.811,28.252,0.9608,0.02294,0.47764,-3.737,0.156803,0.1533,0.110891,0.05434
data\raw\data_store\audio105\arctic_a0105(5).wav,audio105,arctic_a0105(5).wav,0105,5,-262.115112,69.9198,5.84925,21.999739,-20.453632,10.610127,-0.043722,-21.41227,-7.440086,-12.080588,-11.555558,1.272922,-9.210892,188.015,30.476,0.8413,0.03477,0.51609,-7.585,0.146332,0.151717,0.081242,0.058774
data\raw\data_store\audio105\arctic_a0105(6).wav,audio105,arctic_a0105(6).wav,0105,6,-245.378647,84.453026,12.776742,29.285295,-19.378721,-0.106182,-18.489439,-20.674171,-18.745071,-9.828954,-13.803193,-7.153576,-5.984446,241.216,41.11,0.9612,0.03676,0.44691,0.041,0.13432,0.163204,0.142416,0.076776
data\raw\data_store\audio105\arctic_a0105(7).wav,audio105,arctic_a0105(7).wav,0105,7,-223.817215,90.237541,15.538226,6.364543,-26.207932,13.319467,-16.445591,-8.4808,-9.231843,6.609398,-20.969902,10.235646,-11.636805,182.377,11.574,0.9908,0.02229,0.38389,2.262,0.170052,0.172213,0.111509,0.048723
data\raw\data_store\audio105\arctic_a0105.wav,audio105,arctic_a0105.wav,0105,0,-281.781067,88.624916,25.655304,10.085272,-20.706348,12.726274,-6.945759,-10.096722,-7.636107,-7.678737,-9.588101,-0.498121,-9.124161,184.495,18.043,0.9394,0.02243,0.31056,2.471,0.145496,0.188668,0.101494,0.060862
data\raw\data_store\audio106\arctic_a0106(1).wav,audio106,arctic_a0106(1).wav,0106,1,-196.936066,67.265091,5.46965,26.927065,-22.872299,8.023823,-17.113577,6.438028,-18.086309,0.931985,-12.314245,-1.133232,-6.226907,225.072,35.94,0.9371,0.04264,0.47854,-2.81,0.179164,0.15877,0.096619,0.048235
data\raw\data_store\audio106\arctic_a0106(3).wav,audio106,arctic_a0106(3).wav,0106,3,-188.984436,70.318382,21.956087,22.797888,-7.926389,0.537992,-12.39841,-3.402126,-13.59934,-2.606001,-7.259991,-2.128866,-5.607432,209.046,20.066,0.8455,0.03059,0.38776,3.22,0.170677,0.172427,0.117265,0.047641
data\raw\data_store\audio106\arctic_a0106(4).wav,audio106,arctic_a0106(4).wav,0106,4,-222.590363,73.906036,-6.667109,26.521683,-12.800613,-0.490945,-19.949448,-11.591478,-4.042756,-1.747117,-5.457569,-4.067006,-0.682327,211.868,24.741,0.8618,0.03343,0.45138,-0.262,0.190188,0.170439,0.093901,0.05132
data\raw\data_store\audio106\arctic_a0106(5).wav,audio106,arctic_a0106(5).wav,0106,5,-245.40567,54.450001,-10.658191,35.263691,-13.563395,7.674504,-6.132118,-19.630018,-6.112639,-10.989782,-10.923518,-0.738956,-10.465273,191.42,27.713,0.8095,0.03749,0.45195,-1.192,0.197274,0.163104,0.064819,0.038201
data\raw\data_store\audio106\arctic_a0106(6).wav,audio106,arctic_a0106(6).wav,0106,6,-223.552429,78.813873,4.945486,25.87743,-21.788906,-1.771621,-19.149534,-12.608433,-17.583033,-8.896576,-13.030278,-5.886854,-6.867422,238.659,32.075,0.9481,0.04112,0.48782,0.465,0.160756,0.160016,0.139064,0.078364
data\raw\data_store\audio106\arctic_a0106(7).wav,audio106,arctic_a0106(7).wav,0106,7,-206.072968,77.335342,3.351281,22.06666,-13.03548,2.378804,-18.076212,-6.669785,-7.8147,1.597951,-18.96718,3.659485,-10.726339,186.537,19.882,0.9492,0.03911,0.38825,0.215,0.177066,0.15138,0.12462,0.056494
data\raw\data_store\audio106\arctic_a0106.wav,audio106,arctic_a0106.wav,0106,0,-237.454147,65.680649,12.478056,27.094896,-11.030347,3.779824,-2.890872,-6.974153,-4.441576,-4.340558,-9.996787,0.671015,-10.63232,181.812,17.233,0.863,0.02988,0.34219,4.35,0.18107,0.188466,0.135998,0.079452
data\raw\data_store\audio107\arctic_a0107(1).wav,audio107,arctic_a0107(1).wav,0107,1,-234.878098,76.504097,-15.265201,31.720339,-35.956882,14.823062,-20.772089,9.67611,-20.222126,-4.978873,-11.617483,-11.330397,-5.018787,217.981,37.214,1.0,0.04181,0.36651,-6.723,0.107224,0.076134,0.082742,0.035683
data\raw\data_store\audio107\arctic_a0107(3).wav,audio107,arctic_a0107(3).wav,0107,3,-193.560516,89.636559,13.534474,38.310406,-16.88036,-3.394838,-6.519075,-9.086225,-16.884148,-6.816494,-3.64464,-5.360426,-4.239644,209.352,21.098,0.9048,0.01966,0.41388,1.997,0.086715,0.062488,0.139432,0.052238
data\raw\data_store\audio107\arctic_a0107(4).wav,audio107,arctic_a0107(4).wav,0107,4,-242.315094,86.526413,-10.590064,37.137005,-20.363718,-2.596022,-21.069691,-12.810475,-14.00923,-5.961929,-10.263746,-9.311117,-0.356331,227.766,34.044,1.0,0.02392,0.36321,1.15,0.114273,0.102172,0.114503,0.040913
data\raw\data_store\audio107\arctic_a0107(5).wav,audio107,arctic_a0107(5).wav,0107,5,-194.981445,78.419769,-20.805052,47.990116,-19.834066,-2.203088,3.936488,-30.274935,-6.383986,-19.327906,-10.487935,-2.502041,-16.094769,191.32,28.748,0.9831,0.02453,0.40933,-3.789,0.10562,0.056444,0.122018,0.052536
data\raw\data_store\audio107\arctic_a0107(6).wav,audio107,arctic_a0107(6).wav,0107,6,-219.938431,99.049255,-14.919146,28.806337,-29.722412,-0.829093,-16.721954,-16.094564,-20.476339,-12.749094,-12.916762,-13.725899,-9.294401,238.857,42.363,0.9872,0.02879,0.40257,-4.499,0.0915,0.073265,0.16283,0.078122
data\raw\data_store\audio107\arctic_a0107(7).wav,audio107,arctic_a0107(7).wav,0107,7,-194.639313,95.953896,-1.489474,28.716019,-20.922064,6.365249,-14.387974,-4.654721,-9.860888,0.310582,-20.004438,5.581189,-17.360165,181.657,15.893,1.0,0.01448,0.34466,2.948,0.102582,0.071653,0.167898,0.049693
data\raw\data_store\audio107\arctic_a0107.wav,audio107,arctic_a0107.wav,0107,0,-266.328094,95.264023,2.714105,39.221245,-20.004057,6.24921,-5.839194,-9.27796,-9.968699,-11.011239,-3.457875,-10.77583,-7.686926,189.592,22.692,1.0,0.01882,0.36703,3.477,0.092911,0.096343,0.145144,0.062394
data\raw\data_store\audio108\arctic_a0108(1).wav,audio108,arctic_a0108(1).wav,0108,1,-223.392807,64.523819,-8.288642,44.184147,-27.738518,-3.131996,-19.317013,7.095947,-17.986658,-4.168929,-11.434396,-5.326195,-4.277972,225.616,43.072,0.9667,0.03974,0.40811,-0.182,0.110082,0.106414,0.090971,0.045177
data\raw\data_store\audio108\arctic_a0108(3).wav,audio108,arctic_a0108(3).wav,0108,3,-210.318573,83.481125,23.092493,32.717346,-12.205131,-5.440755,-9.79744,-9.097828,-16.076342,-5.56694,-6.809028,-1.588097,-6.270099,194.746,32.512,0.9266,0.0295,0.45016,0.075,0.113346,0.118855,0.109596,0.040627
data\raw\data_store\audio108\arctic_a0108(4).wav,audio108,arctic_a0108(4).wav,0108,4,-226.460541,86.362747,-10.586002,35.53574,-22.66049,-10.991434,-22.891958,-11.072331,-9.142614,-7.564259,-8.739945,-7.1511,-2.51831,222.411,34.901,0.97,0.02016,0.46234,-1.409,0.116587,0.102331,0.104168,0.042152
data\raw\data_store\audio108\arctic_a0108(5).wav,audio108,arctic_a0108(5).wav,0108,5,-189.645126,84.815559,-20.806087,44.21096,-21.501541,-5.757378,-5.642961,-24.155327,-6.597157,-16.095669,-12.51282,0.591809,-14.565784,180.098,39.134,0.899,0.0445,0.4919,-5.853,0.128428,0.127153,0.104098,0.043181
data\raw\data_store\audio108\arctic_a0108(6).wav,audio108,arctic_a0108(6).wav,0108,6,-226.163696,91.295425,-10.052103,45.092064,-19.879936,-7.961189,-21.118177,-14.96329,-19.223145,-9.534701,-9.777569,-7.430101,-5.424383,223.497,28.079,0.9231,0.02691,0.46114,0.243,0.098568,0.111663,0.133719,0.066718
data\raw\data_store\audio108\arctic_a0108(7).wav,audio108,arctic_a0108(7).wav,0108,7,-205.698837,87.119781,10.927528,33.455311,-24.639883,-4.018424,-24.710836,-5.176075,-11.39729,-4.33172,-16.231049,5.308581,-14.08974,189.047,16.652,0.9792,0.02046,0.41546,2.325,0.097364,0.095764,0.128565,0.043866
data\raw\data_store\audio108\arctic_a0108.wav,audio108,arctic_a0108.wav,0108,0,-254.622894,88.738731,1.996829,42.784454,-21.492006,1.000124,-6.964198,-8.04321,-9.232882,-10.08189,-8.075995,-6.519265,-8.227279,184.167,19.593,0.9829,0.02233,0.31323,3.801,0.099929,0.12682,0.129017,0.043962
data\raw\data_store\audio109\arctic_a0109(1).wav,audio109,arctic_a0109(1).wav,0109,1,-216.746811,61.285557,-3.559134,41.166321,-34.224735,10.741951,-21.367771,10.364515,-25.337967,-5.91258,-14.746599,-5.886639,-4.912408,231.529,25.261,0.9643,0.0295,0.37514,1.96,0.120728,0.10163,0.103636,0.030658
data\raw\data_store\audio109\arctic_a0109(3).wav,audio109,arctic_a0109(3).wav,0109,3,-195.623856,78.307121,21.392635,45.914459,-16.052231,-3.604196,-13.331008,-8.423079,-16.834515,-7.58135,-7.931149,-4.726128,-1.466504,212.175,19.781,0.9872,0.02955,0.33126,5.3,0.09887,0.109323,0.142904,0.054174
data\raw\data_store\audio109\arctic_a0109(4).wav,audio109,arctic_a0109(4).wav,0109,4,-235.477127,70.652023,-12.968998,47.577106,-26.390421,-12.278376,-23.710453,-16.511267,-11.735303,-9.203221,-11.858251,-10.361323,-4.94422,254.274,46.614,0.987,0.03297,0.32281,-2.694,0.123589,0.105112,0.110777,0.048506
data\raw\data_store\audio109\arctic_a0109(5).wav,audio109,arctic_a0109(5).wav,0109,5,-195.503906,67.70845,-15.859089,54.626808,-16.165373,-2.069887,-1.610349,-23.284136,-9.63419,-20.79273,-13.263442,-4.914187,-15.732503,188.963,34.644,0.9867,0.0242,0.35172,-11.051,0.128212,0.114384,0.133402,0.070789
data\raw\data_store\audio109\arctic_a0109(6).wav,audio109,arctic_a0109(6).wav,0109,6,-248.663742,84.011108,-1.545156,44.032902,-20.980219,-7.217032,-20.098255,-19.366348,-22.296333,-14.734304,-11.013563,-15.679104,-8.145561,243.597,29.732,0.9798,0.02775,0.32512,-0.012,0.09613,0.111069,0.162175,0.074884
data\raw\data_store\audio109\arctic_a0109(7).wav,audio109,arctic_a0109(7).wav,0109,7,-191.851074,85.286949,11.298389,41.592548,-21.025902,-1.861909,-13.662573,-3.157331,-15.208967,-1.036347,-17.679657,2.93311,-14.112498,181.579,14.004,0.9873,0.01527,0.29678,5.299,0.101393,0.104009,0.170032,0.054535
data\raw\data_store\audio109\arctic_a0109.wav,audio109,arctic_a0109.wav,0109,0,-243.830627,79.144493,8.444756,47.967873,-20.657625,3.185453,-7.101315,-8.906301,-9.108085,-11.55773,-7.132171,-7.838887,-6.657653,184.899,20.23,0.9783,0.02065,0.27595,5.635,0.099437,0.120741,0.160245,0.067464
data\raw\data_store\audio11\arctic_a0011(1).wav,audio11,arctic_a0011(1).wav,0011,1,-240.468048,68.688652,-24.038122,46.480278,-38.965912,1.667554,-20.372324,11.626647,-18.40947,-0.204796,-11.856677,-9.274673,1.156087,240.429,35.369,0.9608,0.02771,0.32428,-2.32,0.10379,0.067694,0.074924,0.034612
